"log.size.bin","n.foss.age","n.foss.na","foss.per","n.phyl.age","n.phyl.na","phyl.per"
0,1,17,0.944444444444444,16,2,0.111111111111111
1,97,896,0.902316213494461,968,25,0.0251762336354481
2,121,1019,0.893859649122807,1072,68,0.0596491228070175
3,115,366,0.760914760914761,460,21,0.0436590436590437
4,131,235,0.64207650273224,330,36,0.0983606557377049
5,103,103,0.5,158,48,0.233009708737864
6,59,31,0.344444444444444,51,39,0.433333333333333
7,11,5,0.3125,10,6,0.375
NA,23,1053,0.978624535315985,903,173,0.160780669144981
