"size.bin","n.foss.age","n.foss.na","foss.per","n.phyl.age","n.phyl.na","phyl.per"
0,1,19,0.95,18,2,0.1
1,106,1034,0.907017543859649,1110,30,0.0263157894736842
2,140,1064,0.883720930232558,1134,70,0.0581395348837209
3,133,373,0.737154150197628,485,21,0.041501976284585
4,160,244,0.603960396039604,367,37,0.0915841584158416
5,122,104,0.460176991150442,178,48,0.212389380530973
6,66,32,0.326530612244898,58,40,0.408163265306122
7,13,5,0.277777777777778,12,6,0.333333333333333
NA,29,1070,0.97361237488626,924,175,0.159235668789809
